moduleCode,title,semesters
BIH5106,Advanced Research Methods for Behavioural and Implementation Sciences - Complex Intervention Design,[2]
BIS3001,Independent Study Course in Business,"[1, 2]"
BIS3001A,Independent Study Course in Business,[1]
BL5102,Environmental Science,"[1, 2]"
BL5198,Graduate Seminar Course in Biological Sciences,"[1, 2]"
BL5199,Research Project in Conservation and Nature-based Climate Solutions,"[1, 2, 3, 4]"
BL5201,Structural Biology And Proteomics,[1]
BL5202A,Biophysical Methods in Life Sciences,[2]
BL5210,Biogeography and Global Change,[2]
BL5213,Protein Design & Engineering,[2]
BL5214,Advanced Proteins Nmr,[1]
BL5215,Macromolecular X-Ray Crystallography,[1]
BL5216,Advanced Genetics and Genome Sciences,[2]
BL5217,Population Genomics and Phylogenomics,[1]
BL5218,Directed Studies in Behavioural Ecology,[2]
BL5220,Advanced Animal Development,[2]
BL5221,Plant and Microbial Development,[2]
BL5222,Cellular Mechanisms,[1]
BL5223,Advanced Molecular Genetics,[1]
BL5224,Signalling Mechanisms in Cancers and Metabolic Diseases,[2]
BL5225,Marine Conservation,[2]
BL5230,Biological Invasions,[1]
BL5232,Introduction to Bioimaging,[2]
BL5233,Data Analysis for Conservation Biology with R,"[1, 2]"
BL5234,Quantitative Methods and Critical Thinking in Biology,[2]
BL5236,Introduction to Electron Microscopy for Life Sciences,[1]
BL5239,Science and Communication,[1]
BL5240,Skills for Research Survival and Excellence,[3]
BL5299,Internship in Conservation and Nature-based Climate Solutions,"[1, 2, 3, 4]"
BL5301,Conservation Problems and Practice,[1]
BL5302,Climate Change Solutions,[2]
BL5311,Freshwater Conservation,[1]
BL5312,Natural History Collections and Conservation,[2]
BL5313,Food Security and Sustainability,"[1, 2]"
BL5322,Field Techniques in Biological Conservation,[1]
BL5323,Spatial modelling for environmental sustainability,[2]
BL5324,Ecological Perspectives on Global Change,[1]
BL5331,Sustainability Science,[2]
BL5601,Case Studies in Biotechnology,"[1, 2]"
BL5602,Genetic Engineering in Biotechnology,[1]
BL5611,Advanced and Current Topics in Drug Development,[2]
BL5623,Infectious Diseases and Host-Pathogen Interactions,[2]
BL5631,Practical Analysis of Genomic Data using R,[1]
BL5632,Genomic Data Science in the Cloud,[2]
BL5642,CRISPR & Precision Gene Editing Technologies,[2]
BL5643,Applications of Industrial Biotechnology,[2]
BL5661,Urban Agriculture and Crop Biotechnology,[1]
BL5662,Biotechnology in Aquaculture,[2]
BL5690,Internship Project in Biotechnology,"[1, 2]"
BL5699,Capstone Project in Biotechnology,"[1, 2, 3, 4]"
BL5699R,Capstone Project in Biotechnology,"[1, 2, 3, 4]"
BLD3002,CEOs as Leaders,[1]
BLD3004,Topics in Leadership Development,[1]
BMA5001,Managerial Economics,"[1, 2]"
BMA5002,Analytics For Managers,[2]
BMA5002A,Topics In Analytics For Managers,[2]
BMA5003,Financial Accounting,[1]
BMA5008,Financial Management,"[1, 2]"
BMA5009,Marketing Strategy,"[1, 2]"
BMA5011,Macroeconomics in the Global Economy,[1]
BMA5013,Corporate Strategy,"[1, 2, 3]"
BMA5016,Leading with Impact,"[1, 2]"
BMA5017,Managerial Operations and Analytics,"[1, 2]"
BMA5102,Legal Issues in Business,[3]
BMA5104,Global Strategic Management,[1]
BMA5112,Asian Business Environments,[2]
BMA5112A,Topics in Asian Business Environment,[2]
BMA5118A,Special Topics in Strategy and Policy: Sustainability Strategy,[2]
BMA5128,Venture Capital,[3]
BMA5129,Leading with Strategy in Digital Firms,[4]
BMA5136,A Consulting Toolkit For Strategic Decision-Making,[4]
BMA5137,Strategic Leadership,[4]
BMA5236,Global Operations Strategy,[2]
BMA5271,"Leadership in Supply Chain, Operations & Sustainability",[3]
BMA5275,Analytics in Managerial Economics,"[2, 4]"
BMA5277,Managing Geopolitics in International Business,[4]
BMA5278,Business Insights through Industry Analysis,[1]
BMA5302,Investment Analysis and Management,[2]
BMA5302A,Investment Analysis & Management,[2]
BMA5303,Financial Statement Analysis,[3]
BMA5309,Fund Management,[4]
BMA5313,Venture Capital and Private Equity,[1]
BMA5313A,Valuation and Mergers & Acquisitions,[2]
BMA5313E,Topics in Private Equity,[3]
BMA5314,Entrepreneurial Finance,[1]
BMA5323,Applied Portfolio Management,[2]
BMA5334,Technological Innovations and Disruptions in Finance,"[2, 4]"
BMA5335,Digital Assets and Blockchain in Finance,[1]
BMA5336,Sustainability Risk Management,"[1, 3]"
BMA5337,Sustainability Reporting and Analysis,[2]
BMA5337A,Topic in Sustainability Reporting and Analysis,[2]
BMA5338,"Sustainable Web3, Generative AI and Metaverse",[4]
BMA5404,Entrepreneurship & Innovation,[1]
BMA5406,Negotiations and Conflict Management,[1]
BMA5424,Corporate Entrepreneurship and Business Model Evaluation,[2]
BMA5429,Mastering Influence,[2]
BMA5430,Judgment and Decision Making Under Uncertainty,[3]
BMA5431,AI for Talent Management and Organizational Design,[1]
BMA5432,Managing People with Data,[2]
BMA5432A,Topic in Managing People with Data,[2]
BMA5502,Understanding & Influencing Consumers,[2]
BMA5505,Service Management,[1]
BMA5506,Product & Brand Management,[3]
BMA5524,Marketing Analytics,[1]
BMA5528,Business to Business Marketing,[2]
BMA5528A,Topics in Business-to-Business Marketing,[2]
BMA5533,Digital Marketing,[4]
BMA5539,Social Purpose Marketing,[1]
BMA5701,Independent Study Course,[1]
BMA5801,Launch Your Transformation,[1]
BMA5803,C-Suite Life,"[1, 2]"
BMA5805,Structured Problem Solving to Open-ended Management Priorities,[1]
BMA5901,MBA Consulting Project,"[1, 2]"
BMA5903,MBA Internship,"[1, 2]"
BMA5904A,NUS-QUT-MIT-University of Auckland Collaboration Sprint: An Immersion Program,[1]
BMA5905,Entrepreneurship Practicum in Healthcare Innovation,[1]
BMC5021,"Leadership: exploration, assessment & development","[2, 4]"
BMC5022,Strategy,[1]
BMC5023,Business analytics and decision making,[1]
BMC5024,Asia and global economy,[1]
BMC5026,Marketing strategy,[1]
BMC5027,Accounting and information management,[1]
BMC5029,"Value chains, logistics and operations",[1]
BMC5030,Governance and sustainable business,"[1, 2]"
BMC5032,Economic analysis for managers,[2]
BMC5034,Special topics 1: Technology and business frontiers,[1]
BMC5035M,Methodology and Practice,[2]
BMC5036,Corporate finance,"[1, 2]"
BMC5037,Financial management and markets,[3]
BMC5038,Managing organizations and change,"[1, 2]"
BMC5118,Winning Strategy for Emerging Asia,[2]
BMC5130,Governance and sustainable business,[1]
BMC5203,Corporate Innovation in Big Data and AI Era,[2]
BMC5231,"Technology, innovation and entrepreneurship",[1]
BMC5411,Negotiation Strategies and Skills,[2]
BMC5415,Managing Human Capital Today,[2]
BMC5501,Service Management,[2]
BMC5707,Real Estate Finance and Securitization,[2]
BMC5815,Singapore Governance's Success,[2]
BMC5834,Technology and business frontiers,[1]
BMD5301,Introduction to Finance for FinTech Professionals,[1]
BMD5302,Financial Modelling for FinTech Professionals,[2]
BME5040,Business Analytics and Decision Making,"[1, 2, 3]"
BME5042,Accounting and Information Management,[1]
BME5043,Financial Management,"[2, 3]"
BME5044,"Communications, Influence and Negotiations",[3]
BME5045,"Leadership: Exploration, Assessment & Development",[3]
BME5046,Managing Organisations,"[1, 3]"
BME5049,Marketing Strategy,[2]
BME5051,Economic Analysis for Managers,[1]
BME5054,Strategy,"[1, 2]"
BME5101,Sustainability Reporting and ESG Investing,[2]
BME5105,International Business and Internationalization,[1]
BME5201,Analytics for Leaders,[1]
BME5202,Opportunities in AI,[1]
BME5302,Investment Management,[1]
BME5403,Corporate Innovation & Intrapreneurship,[1]
BME5404,"Communications, Influence and Negotiations",[2]
BME5501,Service Management,[1]
BMF5321,Financial Modelling,[1]
BMF5322,Introduction to Finance,[1]
BMF5323,Accounting for Finance Professionals,[1]
BMF5324,Statistics and Analytics in Finance,[1]
BMF5331,Applied Corporate Finance,[2]
BMF5332,Foundation of Investments,[2]
BMF5333,Options and Fixed Income,[2]
BMF5334,International Finance and Economics,[2]
BMF5342,Financial Technology and Analytics,[1]
BMF5343,Banks and Non-Traditional Financial Intermediaries,[1]
BMF5344,Financial Statement Analysis and Value Investing,[1]
BMF5346A,Venture Capital and Private Equity,[1]
BMF5346B,Venture Capital and Private Equity,[1]
BMF5351,Household Finance,[1]
BMF5354,Financial Regulation in a Digital Age,[1]
BMF5355,Financial Systems and Technologies,[1]
BMF5356,Applied Financial Risk Management,[1]
BMF5357,Sustainable Investment,[1]
BMF5358,Fintech Venture Creation,[1]
BMF5359,Valuation and Mergers & Acquisitions,[1]
BMF5360,Applied Machine Learning in Investments,[1]
BMF5362,Sustainability Risk Management,[1]
BMF5363,Fund Management,[1]
BMF5391A,Experiential Learning: Individual Internship,"[1, 2, 3]"
BMF5391B,Experiential Learning: Corporate Consultancy Project,[1]
BMF5391C,Experiential Learning: Applied Faculty Project,"[1, 2]"
BMF5393A,Experiential Learning: Advanced Individual Internship,"[1, 2]"
BMG5101,Foundational Corporate Finance,"[1, 2]"
BMG5102,Foundational Investments,[1]
BMG5103,Corporate Governance and Sustainability,[2]
BMG5104,Economics of Sustainability,[1]
BMG5201,Impact Assessment and Impact Investing,[2]
BMG5202,Sustainable and Green Investment,[2]
BMG5203,Sustainability Risk Management,[2]
BMG5204,Sustainable Household Finance,[1]
BMG5205,Carbon Accounting and Sustainability Reporting,[2]
BMG5206,Sustainability in Supply Chain,[1]
BMG5301,Sustainable and Green Capstone Project A,[2]
BMH5101,Quantitative Methods for HR,[2]
BMH5102,Talent Assessment & Selection,[1]
BMH5103,People Analytics,[2]
BMH5104,Artificial Intelligence for HR,[2]
BMH5105,Communication for HR Professionals,[2]
BMH5106,HR Technology,[2]
BMH5107,Leading and Managing Difficult Employees,[1]
BMH5108,Labour and Employment Law,[1]
BMH5109,Talent Management,[2]
BMH5110,Compensation and Performance Management,[1]
BMH5111,HR as Strategic Partner for Growth & Transformation,[1]
BMH5112,Negotiation & Dispute Resolution,[1]
BMH5113,Ethics in Human Resources,[1]
BMH5301,Experiential Learning: Individual Internship,[2]
BMH5302,Experiential Learning: Faculty Research Project,[2]
BMH5303,Experiential Learning: HR Consultancy Project,[2]
BMI1101A,Digital Literacy for Healthcare,[2]
BMI1101C,Digital Literacy for Healthcare,[2]
BMI3102C,Value Based Healthcare,[2]
BMI5101,Advanced Biomedical Informatics,[1]
BMI5101B,Advanced Biomedical Informatics,[1]
BMI5102,Health Sciences for Non-Clinicians,[1]
BMI5106,Clinical Decision Support Systems,[2]
BMI5107,Advanced Evidence Based Patient Care,[2]
BMI5108,Advanced Value Based Healthcare,"[1, 2]"
BMI5110,Molecular Informatics,[2]
BMI5111,Capstone Project,"[1, 2]"
BMI5201,Advanced Clinical Data Systems,[2]
BMI5206,Advanced Human Factors Engineering,[2]
BMI5207,Medical Data and Data Processing,[1]
BMI5306,Advanced Agile Project Management,[1]
BMK5100,Marketing Analytics,[1]
BMK5101,Digital Marketing,[1]
BMK5102,Big Data in Marketing,[1]
BMK5103,Consumer Insights,[2]
BMK5104,Marketing Analytics Visualisation and Communications,[2]
BMK5200,Pricing Analytics,[2]
BMK5201,Customer Relationship Management,[2]
BMK5202,Python Programming for Business Analytics,"[1, 2]"
BMK5203,Research for Marketing Insights,[1]
BMK5204,Marketing Strategy,[1]
BMK5206A,Personal Selling & Sales Management,[2]
BMK5207,AI in Marketing,[2]
BMK5209,Product and Brand Management,[1]
BMK5210,Independent Study Course in Marketing Analytics,[1]
BMK5300A,Experiential Learning: Industry Internship,"[1, 3, 4]"
BMK5300B,Experiential Learning: Marketing Analytics Consultancy Project,[1]
BMK5300D,Marketing Venture Challenge,[1]
BMO6012A,Organizational Behavior Seminar: Interpersonal Relations,[1]
BMO6024,Seminar in Human Resource Management,[2]
BMO6029,Psychology of Technology,[2]
BMO6030A,Foundations of Organisational Behavior,[1]
BMP5000,JUMPSTART Programme,[1]
BMP5100,Economic Analysis for Strategic Decisions,[1]
BMP5101,Innovation Strategy,[1]
BMP5102,Executing Strategy for Results,[1]
BMP5103,Strategic Sustainability,[1]
BMP5105,Strategy for an Interlinked World,[2]
BMP5106,Strategy for High Performance in Digital Firms,[2]
BMP5107,Business Model Innovation in Asia,[2]
BMP5201,Leveraging Disruptive Technologies,[1]
BMP5202,Global Macroeconomic Playbook,[1]
BMP5300,Business Project,[2]
BMS5107,Ethical Leadership and Corporate Strategy,[1]
BMS5110,Managerial Economics,[1]
BMS5112,Global Strategic Management,[1]
BMS5114,Asian Business Environment,[2]
BMS5117,Game Theory For Managers,[1]
BMS5120,Innovation and Strategies for Emerging Markets,[2]
BMS5121,Digital Transformation: Planning and Management,[1]
BMS5121S,Digital Transformation & Strategy,[2]
BMS5122,Legal Fundamentals for Entrepreneurs and Managers,[2]
BMS5123S,Entrepreneurship Business Development,[1]
BMS5124,Entrepreneurial Management,[2]
BMS5124S,Entrepreneurial Management,[2]
BMS5125,Sustainability Strategy,[2]
BMS5127,Management of Technological Innovation,[2]
BMS5128,Entrepreneurship Green Venture Business Funding,[2]
BMS5129,Applied Sustainability: A Systems Perspective,[1]
BMS5205,Business Analytics,[2]
BMS5211,Strategies for Operational Excellence,[1]
BMS5305,Entrepreneurial Finance,[1]
BMS5307,Financial Markets and Institutions,"[1, 2]"
BMS5311,Corporate Finance,[2]
BMS5405S,New Venture Creation,[1]
BMS5410,Negotiation and Conflict Management,[1]
BMS5411,Judgment and Decision Making Under Uncertainty,[1]
BMS5412,Global Leadership,[2]
BMS5413,Negotiations & Influence,[2]
BMS5415,Designing Organisations with Data,[2]
BMS5416,Managing Across Cultures,[1]
BMS5418,Corporate Entrepreneurship,[1]
BMS5419,Managing for Human Sustainability,[2]
BMS5503,Pricing,[2]
BMS5504,Marketing Analytics Visualisation and Communication,[1]
BMS5505,Digital Marketing,[1]
BMS5508,Design Thinking & Business Innovations,[1]
BMS5515,Personal Selling and Sales Management,[1]
BMS5516,Customer Centricity and Brand Alignment,[2]
BMS5519,Services Marketing,[2]
BMS5520,Research for Marketing Insights,[1]
BMS5521,Managing Disruption,[1]
BMS5522,AI in Marketing,[2]
BMS5602,Financial Analysis and ESG Integration,[2]
BMS5802,Real Estate Finance,[2]
BMS5900,Block Seminar,[1]
BMS5900A,Sustainability Thinking in Product and Service Design,[1]
BMS5901,Business Project,[2]
BMT5100,Preparing Financial Statements,[1]
BMT5101,Applied Data Science & Vizualization,[1]
BMT5102,Corporate Valuation Models,[1]
BMT5103,Managerial Planning and Control,[1]
BMT5104,Corporate Accounting and Reporting,[2]
BMT5200,Analytics and Data Management,[2]
BMT5201,Financial Statement Analysis,[2]
BMT5202,Bank Compliance and Risk Management,[2]
BMT5203,Mergers and Acquisitions,[2]
BMT5205,Taxes and Business Strategy,[1]
BMT5206,Sustainability Reporting,[2]
BMT5301A,Experiential Learning: Individual Internship,[1]
BMT5301C,Experiential Learning: Faculty Research Project,[1]
BMT5401B,Independent Study: Sustainability Accounting & Reporting,[1]
BMT5401C,Independent Study: Forensic Accounting and Financial Fraud,[1]
BN1111,Biomedical Engineering Principles and Practice I,[1]
BN2001,Independent Study,"[1, 2]"
BN2102,Bioengineering Data Analysis,[2]
BN2105,Medical Device Life Cycle Management,[2]
BN2111,Biomedical Engineering Principles and Practice II,[2]
BN2201,Quantitative Physiology for Bioengineers,"[1, 2]"
BN2204,Fundamentals of Biomechanics,[2]
BN2204S,Fundamentals of Biomechanics,[1]
BN2301,Biochemistry and Biomaterials for Bioengineers,[1]
BN2403,Fundamentals of Biosignals and Bioinstrumentation,[1]
BN3101,Biomedical Engineering Design,"[1, 2]"
BN3101A,Biomedical Engineering Design,"[1, 2]"
BN3202,Musculoskeletal Biomechanics,[2]
BN3301,Introduction To Biomaterials,[2]
BN3402,Bio-Analytics for Engineers,[2]
BN4101,B.Eng. Dissertation,"[1, 2]"
BN4102,Gerontechnology in Ageing,[2]
BN4103,Assistive Technology for Persons with Disability,[1]
BN4108,Biomedical Engineering for Global Health,[1]
BN4109,Special Topic In Bioengineering,[2]
BN4202A,Computational Biofluid Dynamics,[2]
BN4203,Robotics in Rehabilitation,[2]
BN4206,Computational Methods in Biomedical Engineering,[1]
BN4301,Principles Of Tissue Engineering,[1]
BN4302,Organs in a Dish: Organoid Bioengineering,[2]
BN4303,Tissue Engineering for Designing Food,[2]
BN4304,Engineering Strategies for Gene and Cell Manufacturing,[1]
BN4403,Cellular Bioengineering,[1]
BN4404,Bioelectromechanical Systems - Biomems,[2]
BN4406,Biophotonics And Bioimaging,[2]
BN4501,Engineering Biology,[1]
BN4701,Serious Games for Health,[1]
BN5001,Independent Research Project,"[1, 2]"
BN5101,Biomedical Engineering Systems,"[1, 2]"
BN5102,Clinical Instrumentation,[2]
BN5104,Quantitative Physiology Principles in Bioengineering,[1]
BN5201,Advanced Biomaterials,[2]
BN5202,Orthopaedic Biomechanics,[1]
BN5203,Advanced Tissue Engineering,[2]
BN5206,Computational Methods in Biomedical Engineering,"[1, 2]"
BN5207,Medical Imaging Systems,[2]
BN5208,Biomedical Quality and Regulatory Systems,[1]
BN5209,Frontiers in Neurotechnology,[2]
BN5210,Biosensors and Biochips,[1]
BN5211,Medical Robotic Intelligence,[1]
BN5212,Advanced Machine Learning for Biomedical Engineering and Sciences,[1]
BN5302,Organs in a Dish: Organoid Bioengineering,"[1, 2]"
BN5303,Tissue Engineering for Designing Food,"[1, 2]"
BN5304,Biomedical Engineering Practice and Innovation,[2]
BN5501,The Biodesign Process of Innovation in Healthcare,"[1, 2]"
BN5511,Introduction to Global Medical Device Regulation,[1]
